TimeSinceStart,TrialNo,TrialID,ParticipantID,FurnitureCondition,AlignmentCondition,Info,CardSeen,CardAnswered,CardPosition.x,CardPosition.y,CardPosition.z
24.7,7,Training,16,HasFurniture,Irregular,Prepare Phase,,,,,
76.86,7,Training,16,HasFurniture,Irregular,Learning Phase,,,,,
79.46,7,Training,16,HasFurniture,Irregular,Card,29,,1.870939,0.1356431,1.937809
83.54,7,Training,16,HasFurniture,Irregular,Card,6,,2.130451,-0.6143569,1.241279
85.1,7,Training,16,HasFurniture,Irregular,Card,33,,1.361853,-0.1143569,-1.069405
87.6,7,Training,16,HasFurniture,Irregular,Card,10,,0.4619361,-0.4143569,-1.081663
89.02,7,Training,16,HasFurniture,Irregular,Card,12,,-0.8447537,-0.264357,-0.5994164
91.9,7,Training,16,HasFurniture,Irregular,Distractor,,,,,
91.9,7,Training,16,HasFurniture,Irregular,Distractor Number: 8,,,,,
97.1,7,Training,16,HasFurniture,Irregular,Distractor Number: 7,,,,,
101.52,7,Training,16,HasFurniture,Irregular,Distractor Number: 6,,,,,
104.44,7,Training,16,HasFurniture,Irregular,Distractor Number: 7,,,,,
107.44,7,Training,16,HasFurniture,Irregular,Distractor Number: 8,,,,,
107.44,7,Training,16,HasFurniture,Irregular,Recall Phase,,,,,
112.36,7,Training,16,HasFurniture,Irregular,Card,,29,1.870939,0.1356431,1.937809
116.3,7,Training,16,HasFurniture,Irregular,Card,,6,2.130451,-0.6143569,1.241279
119.14,7,Training,16,HasFurniture,Irregular,Card,,33,1.361853,-0.1143569,-1.069405
121.22,7,Training,16,HasFurniture,Irregular,Card,,10,0.4619361,-0.4143569,-1.081663
124.38,7,Training,16,HasFurniture,Irregular,Card,,12,-0.8447537,-0.264357,-0.5994164
129.14,7,Training,16,HasFurniture,Irregular,Result,,,,,
132.82,8,6,16,HasFurniture,Irregular,Prepare Phase,,,,,
134.26,8,6,16,HasFurniture,Irregular,Learning Phase,,,,,
137.8,8,6,16,HasFurniture,Irregular,Card,4,,1.356766,-0.6096187,1.937552
139.52,8,6,16,HasFurniture,Irregular,Card,7,,2.130455,-0.6096187,0.2482023
141.34,8,6,16,HasFurniture,Irregular,Card,21,,1.348706,-0.4096186,-1.062853
142.82,8,6,16,HasFurniture,Irregular,Card,35,,-0.151148,0.1903813,-1.083821
147.3,8,6,16,HasFurniture,Irregular,Card,14,,-0.8895199,-0.4096186,1.656126
149.32,8,6,16,HasFurniture,Irregular,Distractor,,,,,
149.32,8,6,16,HasFurniture,Irregular,Distractor Number: 6,,,,,
154.26,8,6,16,HasFurniture,Irregular,Distractor Number: 2,,,,,
156.76,8,6,16,HasFurniture,Irregular,Distractor Number: 4,,,,,
159.54,8,6,16,HasFurniture,Irregular,Distractor Number: 5,,,,,
162.04,8,6,16,HasFurniture,Irregular,Distractor Number: 3,,,,,
165.1,8,6,16,HasFurniture,Irregular,Recall Phase,,,,,
170.04,8,6,16,HasFurniture,Irregular,Card,,4,1.353661,-0.6108925,1.931959
173.66,8,6,16,HasFurniture,Irregular,Card,,7,2.137116,-0.6108925,0.2471156
176.94,8,6,16,HasFurniture,Irregular,Card,,35,-0.136739,0.1891075,-1.098092
178.74,8,6,16,HasFurniture,Irregular,Card,,21,1.362968,-0.4108924,-1.068443
182.34,8,6,16,HasFurniture,Irregular,Card,,14,-0.8909583,-0.4108924,1.637535
189.14,8,6,16,HasFurniture,Irregular,Result,,,,,
196.92,9,7,16,HasFurniture,Irregular,Prepare Phase,,,,,
198.26,9,7,16,HasFurniture,Irregular,Learning Phase,,,,,
199.48,9,7,16,HasFurniture,Irregular,Card,15,,-0.2806835,-0.2972556,1.903279
201.46,9,7,16,HasFurniture,Irregular,Card,29,,1.868872,0.1527444,1.946999
208.14,9,7,16,HasFurniture,Irregular,Card,34,,0.4801769,0.2027444,-1.081867
209.54,9,7,16,HasFurniture,Irregular,Card,9,,1.379991,-0.6972556,-1.063565
211.54,9,7,16,HasFurniture,Irregular,Card,0,,-0.8297218,-0.5472556,-0.6084053
213.28,9,7,16,HasFurniture,Irregular,Distractor,,,,,
213.28,9,7,16,HasFurniture,Irregular,Distractor Number: 8,,,,,
217.02,9,7,16,HasFurniture,Irregular,Distractor Number: 7,,,,,
221.58,9,7,16,HasFurniture,Irregular,Distractor Number: 1,,,,,
