8,-0.8792167,-0.2980276,0.4688443,10,-0.7951494,-0.3480277,-1.301165,18,-2.628226,-0.2480277,0.8942462,24,-1.58822,0.1019723,-2.446171,28,-3.485647,0.05197227,0.3309267,
5,-3.36748,-0.3980277,0.8167624,10,-0.7951494,-0.3480277,-1.301165,15,-3.875599,-0.2480277,-1.272332,24,-1.58822,0.1019723,-2.446171,33,-0.5824485,-0.04802763,-0.4266604,
11,-0.9369502,-0.3480277,-1.884168,14,-3.774482,-0.3480276,-1.914418,21,-0.5824485,-0.3480276,-0.4266604,28,-3.485647,0.05197227,0.3309267,31,-1.656554,0.05197227,0.6579118,
5,-3.36748,-0.3980277,0.8167624,9,-0.5824485,-0.6480277,-0.4266604,12,-1.58822,-0.1980277,-2.446171,30,-2.628226,0.05197227,0.8942462,34,-0.7951494,0.2519723,-1.301165,
4,-3.485647,-0.5480277,0.3309267,10,-0.7951494,-0.3480277,-1.301165,13,-2.316974,-0.3480276,-2.26892,20,-0.8792167,0.001972318,0.4688443,27,-3.875599,0.05197227,-1.272332,
4,3.660032,-0.6255153,-3.031342,7,1.818634,-0.6255153,-3.279839,14,4.044585,-0.4255152,-0.8003958,21,0.7918723,-0.4255152,-2.150343,35,1.208355,0.1744847,-0.7093216,
0,1.883054,-0.5755153,-0.1756725,9,0.7918723,-0.7255152,-2.150343,15,4.118163,-0.3255153,-1.446218,29,3.521205,0.1244848,-3.511682,34,1.041762,0.1744847,-1.28573,
0,1.883054,-0.5755153,-0.1756725,4,3.660032,-0.6255153,-3.031342,18,2.779315,-0.3255153,-3.557494,32,1.050089,0.2244848,-3.057715,34,1.041762,0.1744847,-1.28573,
11,1.208355,-0.4255153,-0.7093216,13,2.603564,-0.4255152,-0.3839136,21,0.7918723,-0.4255152,-2.150343,28,3.660032,-0.02551532,-3.031342,30,2.779315,-0.02551532,-3.557494,
3,4.118163,-0.6255153,-1.446218,13,2.603564,-0.4255152,-0.3839136,20,1.050089,-0.07551527,-3.057715,28,3.660032,-0.02551532,-3.031342,34,1.041762,0.1744847,-1.28573,
0,-5.473912,0.1493274,-3.752417,6,-6.661759,0.1493274,-0.3481519,16,-7.520354,0.4493275,-1.675863,20,-4.725069,0.4493275,-0.8473809,34,-4.615318,0.7493274,-2.424706,
1,-6.442257,0.1493274,-3.502802,11,-4.365704,0.1493274,-1.456361,16,-7.520354,0.4493275,-1.675863,26,-7.410603,0.7493274,-3.253188,34,-4.615318,0.7493274,-2.424706,
1,-6.442257,0.1493274,-3.502802,21,-4.864932,0.4493275,-3.393052,23,-4.365704,0.4493275,-1.456361,26,-7.410603,0.7493274,-3.253188,28,-7.520354,0.7493274,-1.675863,
0,-5.473912,0.1493274,-3.752417,9,-4.864932,0.1493274,-3.393052,14,-7.410603,0.4493275,-3.253188,29,-7.27074,0.7493274,-0.7075173,34,-4.615318,0.7493274,-2.424706,
1,-6.442257,0.1493274,-3.502802,7,-5.693414,0.1493274,-0.5977664,15,-7.769968,0.4493275,-2.644208,22,-4.615318,0.4493275,-2.424706,32,-4.725069,0.7493274,-0.8473809,
7,-1.185832,-0.2632005,-2.132038,11,-2.468005,-0.2632005,-1.206817,17,0.3950384,0.03679955,-2.102911,25,-0.2897378,0.3367995,0.7310052,27,0.9924347,0.3367995,-0.1942161,
1,-0.2897378,-0.2632005,0.7310052,6,-0.2314847,-0.2632005,-2.430736,21,-1.870609,0.03679955,0.7018785,26,0.6646099,0.3367995,0.432307,35,-2.468005,0.3367995,-1.206817,
1,-0.3586969,-0.2643496,0.722083,15,0.955524,0.03565049,-0.1570209,19,-1.152551,0.03565049,-2.170977,29,0.4262877,0.3356504,-2.085728,35,-2.466772,0.3356504,-1.291873,
0,-1.32305,-0.2643496,0.9867011,10,-2.202154,-0.2643496,-0.3275198,20,-2.116905,0.03565049,-1.906359,25,-0.3586969,0.3356504,0.722083,29,0.4262877,0.3356504,-2.085728,
8,-2.116905,-0.2643496,-1.906359,15,0.955524,0.03565049,-0.1570209,22,-2.202154,0.03565049,-0.3275198,25,-0.3586969,0.3356504,0.722083,31,-1.152551,0.3356504,-2.170977,
