TimeSinceStart,TrialNo,TrialID,ParticipantID,FurnitureCondition,AlignmentCondition,Info,CardSeen,CardAnswered,CardPosition.x,CardPosition.y,CardPosition.z
217.84,1,Training,13,HasFurniture,Regular,Prepare Phase,,,,,
230.46,1,Training,13,HasFurniture,Regular,Learning Phase,,,,,
235.58,1,Training,13,HasFurniture,Regular,Card,30,,0.7790006,0.1775055,2.632283
240.58,1,Training,13,HasFurniture,Regular,Card,20,,1.580955,-0.1224945,0.8001064
247.52,1,Training,13,HasFurniture,Regular,Card,2,,-1.969264,-0.4224945,1.429351
267.04,1,Training,13,HasFurniture,Regular,Card,25,,-1.568287,0.1775055,0.5132632
297.48,1,Training,13,HasFurniture,Regular,Card,11,,1.323399,-0.4224945,0.1415738
297.48,1,Training,13,HasFurniture,Regular,Distractor,,,,,
297.48,1,Training,13,HasFurniture,Regular,Distractor Number: 3,,,,,
302.44,1,Training,13,HasFurniture,Regular,Distractor Number: 2,,,,,
304.74,1,Training,13,HasFurniture,Regular,Distractor Number: 1,,,,,
307.7,1,Training,13,HasFurniture,Regular,Distractor Number: 4,,,,,
310.08,1,Training,13,HasFurniture,Regular,Distractor Number: 6,,,,,
312.36,1,Training,13,HasFurniture,Regular,Distractor Number: 7,,,,,
314.58,1,Training,13,HasFurniture,Regular,Recall Phase,,,,,
318,1,Training,13,HasFurniture,Regular,Card,,26,-1.980048,0.1766444,1.415469
321.9,1,Training,13,HasFurniture,Regular,Card,,6,0.7624773,-0.4233556,2.631427
325.06,1,Training,13,HasFurniture,Regular,Card,,20,1.573116,-0.1233555,0.8030769
325.16,1,Training,13,HasFurniture,Regular,Card,,8,1.573116,-0.4233556,0.8030769
328.54,1,Training,13,HasFurniture,Regular,Card,,11,1.318688,-0.4233556,0.1433296
339.5,1,Training,13,HasFurniture,Regular,Result,,,,,
353.78,2,1,13,HasFurniture,Regular,Prepare Phase,,,,,
355.64,2,1,13,HasFurniture,Regular,Learning Phase,,,,,
356.8,2,1,13,HasFurniture,Regular,Card,27,,-1.72562,0.1766444,2.075216
359.68,2,1,13,HasFurniture,Regular,Card,25,,-1.574729,0.1766444,0.5012937
388.98,2,1,13,HasFurniture,Regular,Card,17,,0.10273,-0.1233555,2.885855
390.86,2,1,13,HasFurniture,Regular,Card,7,,1.167797,-0.4233556,1.717252
392.5,2,1,13,HasFurniture,Regular,Card,11,,1.318688,-0.4233556,0.1433296
394.14,2,1,13,HasFurniture,Regular,Distractor,,,,,
394.14,2,1,13,HasFurniture,Regular,Distractor Number: 5,,,,,
398.94,2,1,13,HasFurniture,Regular,Distractor Number: 7,,,,,
402.06,2,1,13,HasFurniture,Regular,Distractor Number: 8,,,,,
405.24,2,1,13,HasFurniture,Regular,Distractor Number: 4,,,,,
408.9,2,1,13,HasFurniture,Regular,Distractor Number: 6,,,,,
411.58,2,1,13,HasFurniture,Regular,Distractor Number: 4,,,,,
412.48,2,1,13,HasFurniture,Regular,Recall Phase,,,,,
421.72,2,1,13,HasFurniture,Regular,Card,,2,-1.980048,-0.4233556,1.415469
426.54,2,1,13,HasFurniture,Regular,Card,,3,-1.72562,-0.4233556,2.075216
429.92,2,1,13,HasFurniture,Regular,Card,,6,0.7624773,-0.4233556,2.631427
432.98,2,1,13,HasFurniture,Regular,Card,,11,1.318688,-0.4233556,0.1433296
458.72,2,1,13,HasFurniture,Regular,Card,,0,-1.169409,-0.4233556,-0.4128815
470.62,2,1,13,HasFurniture,Regular,Result,,,,,
474.92,3,2,13,HasFurniture,Regular,Prepare Phase,,,,,
478.46,3,2,13,HasFurniture,Regular,Learning Phase,,,,,
479.92,3,2,13,HasFurniture,Regular,Card,26,,-1.980048,0.1766444,1.415469
483.7,3,2,13,HasFurniture,Regular,Card,21,,-0.5096619,-0.1233555,-0.6673093
486.6,3,2,13,HasFurniture,Regular,Card,35,,1.318688,0.1766444,0.1433296
490.56,3,2,13,HasFurniture,Regular,Card,6,,0.7624773,-0.4233556,2.631427
498.2,3,2,13,HasFurniture,Regular,Card,1,,-1.574729,-0.4233556,0.5012937
499.04,3,2,13,HasFurniture,Regular,Distractor,,,,,
499.04,3,2,13,HasFurniture,Regular,Distractor Number: 2,,,,,
502.88,3,2,13,HasFurniture,Regular,Distractor Number: 1,,,,,
504.82,3,2,13,HasFurniture,Regular,Distractor Number: 8,,,,,
508,3,2,13,HasFurniture,Regular,Distractor Number: 5,,,,,
509.84,3,2,13,HasFurniture,Regular,Distractor Number: 5,,,,,
512.9,3,2,13,HasFurniture,Regular,Distractor Number: 2,,,,,
515.3,3,2,13,HasFurniture,Regular,Recall Phase,,,,,
519.44,3,2,13,HasFurniture,Regular,Card,,12,-1.20839,-0.1351353,-0.403969
527.62,3,2,13,HasFurniture,Regular,Card,,9,-0.5525975,-0.4351354,-0.6684241
530.16,3,2,13,HasFurniture,Regular,Card,,11,1.287897,-0.4351354,0.1142502
533.74,3,2,13,HasFurniture,Regular,Card,,17,0.1138856,-0.1351353,2.874992
534.82,3,2,13,HasFurniture,Regular,Card,,18,0.769678,-0.1351353,2.610537
537.24,3,2,13,HasFurniture,Regular,Result,,,,,
539.06,4,3,13,HasFurniture,Regular,Prepare Phase,,,,,
542.58,4,3,13,HasFurniture,Regular,Learning Phase,,,,,
544.04,4,3,13,HasFurniture,Regular,Card,15,,-1.726609,-0.1351353,2.092318
548.88,4,3,13,HasFurniture,Regular,Card,1,,-1.599727,-0.4351354,0.5162783
553.34,4,3,13,HasFurniture,Regular,Card,35,,1.287897,0.1648647,0.1142502
555.22,4,3,13,HasFurniture,Regular,Card,19,,1.161015,-0.1351353,1.69029
557.32,4,3,13,HasFurniture,Regular,Card,29,,0.1138856,0.1648647,2.874992
559.26,4,3,13,HasFurniture,Regular,Distractor,,,,,
559.26,4,3,13,HasFurniture,Regular,Distractor Number: 8,,,,,
565.38,4,3,13,HasFurniture,Regular,Distractor Number: 6,,,,,
568.46,4,3,13,HasFurniture,Regular,Distractor Number: 7,,,,,
571.82,4,3,13,HasFurniture,Regular,Distractor Number: 1,,,,,
574.94,4,3,13,HasFurniture,Regular,Distractor Number: 7,,,,,
575.86,4,3,13,HasFurniture,Regular,Recall Phase,,,,,
582.2,4,3,13,HasFurniture,Regular,Card,,29,0.1138856,0.1648647,2.874992
589.68,4,3,13,HasFurniture,Regular,Card,,21,-0.5525975,-0.1351353,-0.6684241
592.26,4,3,13,HasFurniture,Regular,Card,,23,1.287897,-0.1351353,0.1142502
