TimeSinceStart,TrialNo,TrialID,ParticipantID,FurnitureCondition,AlignmentCondition,Info,CardSeen,CardAnswered,CardPosition.x,CardPosition.y,CardPosition.z
8682.899,1,Training,11,HasFurniture,Irregular,Prepare Phase,,,,,
8703.02,1,Training,11,HasFurniture,Irregular,Learning Phase,,,,,
8714.439,1,Training,11,HasFurniture,Irregular,Card,29,,-3.280737,0.1266423,-4.135086
8717.479,1,Training,11,HasFurniture,Irregular,Card,6,,-3.264934,-0.6233577,-3.39195
8725.88,1,Training,11,HasFurniture,Irregular,Card,33,,-1.697981,-0.1233577,-1.527906
8727.7,1,Training,11,HasFurniture,Irregular,Card,10,,-0.8570401,-0.4233577,-1.84856
8730.92,1,Training,11,HasFurniture,Irregular,Card,12,,0.1795104,-0.2733577,-2.778917
8731.64,1,Training,11,HasFurniture,Irregular,Distractor,,,,,
8731.64,1,Training,11,HasFurniture,Irregular,Distractor Number: 7,,,,,
8738.58,1,Training,11,HasFurniture,Irregular,Distractor Number: 7,,,,,
8742.7,1,Training,11,HasFurniture,Irregular,Distractor Number: 7,,,,,
8746.24,1,Training,11,HasFurniture,Irregular,Distractor Number: 3,,,,,
8749.38,1,Training,11,HasFurniture,Irregular,Distractor Number: 7,,,,,
8749.54,1,Training,11,HasFurniture,Irregular,Recall Phase,,,,,
8753.04,1,Training,11,HasFurniture,Irregular,Card,,28,-2.813548,-0.02335775,-4.313227
8754.68,1,Training,11,HasFurniture,Irregular,Card,,5,-3.280737,-0.4733577,-4.135086
8758.76,1,Training,11,HasFurniture,Irregular,Card,,33,-1.697981,-0.1233577,-1.527906
8765,1,Training,11,HasFurniture,Irregular,Card,,25,-0.08770168,-0.1233577,-3.479701
8770.14,1,Training,11,HasFurniture,Irregular,Card,,27,-1.271823,-0.02335775,-4.901093
8785.6,1,Training,11,HasFurniture,Irregular,Result,,,,,
8789.38,2,1,11,HasFurniture,Irregular,Prepare Phase,,,,,
8838.22,2,1,11,HasFurniture,Irregular,Learning Phase,,,,,
